"ID","Indicator","Red","Green","Blue"
60382,"0",140,98,96
60383,"0",255,255,247
60384,"0",179,148,123
60385,"0",255,255,240
60386,"0",199,157,124
60387,"0",122,92,82
60388,"0",255,255,249
60389,"0",107,91,84
60390,"0",255,255,253
60391,"0",255,255,250
60392,"0",212,163,120
60393,"0",102,92,84
60394,"0",255,255,202
60395,"0",185,138,108
60396,"0",246,201,151
60397,"0",255,220,158
60398,"0",182,142,124
60399,"0",101,92,83
60400,"0",100,90,82
60401,"0",201,165,116
60402,"0",203,154,131
60403,"0",184,149,112
60404,"0",234,179,137
60405,"0",99,88,81
60406,"0",156,130,101
60407,"0",255,216,162
60408,"0",98,86,80
60409,"0",146,125,102
60410,"0",153,136,112
60411,"0",187,162,129
60412,"0",98,86,80
60413,"0",255,255,185
60414,"0",96,86,79
60415,"0",229,198,135
60416,"0",255,255,206
60417,"0",212,191,139
60418,"0",255,255,210
60419,"0",198,155,121
60420,"0",96,86,80
60421,"0",95,86,80
60422,"0",164,126,99
60423,"0",138,104,92
60424,"0",255,255,210
60425,"0",123,106,82
60426,"0",255,255,209
60427,"0",96,87,80
60428,"0",126,105,83
60429,"0",255,255,194
60430,"0",97,88,80
60431,"0",121,110,86
60432,"0",134,120,94
60433,"0",127,114,90
60434,"0",98,90,87
60435,"0",255,229,164
60436,"0",214,183,134
60437,"0",105,97,96
60438,"0",141,123,98
60439,"0",167,138,111
60440,"0",150,132,102
60441,"0",162,140,107
60442,"0",133,121,105
60443,"0",175,152,115
60444,"0",135,112,97
60445,"0",160,156,124
60446,"0",187,201,151
60447,"0",193,167,128
60448,"0",113,96,91
60449,"0",210,178,137
60450,"0",245,208,151
60451,"0",206,214,177
60452,"0",110,95,88
60453,"0",254,236,156
60454,"0",108,94,88
60455,"0",255,251,184
60456,"0",226,221,190
60457,"0",107,95,88
60458,"0",255,236,180
60459,"0",255,231,170
60460,"0",245,223,192
60461,"0",237,219,194
60462,"0",255,231,168
60463,"0",107,97,89
60464,"0",225,208,190
60465,"0",255,217,161
60466,"0",255,224,169
60467,"0",111,99,91
60468,"0",255,207,152
60469,"0",224,204,182
60470,"0",114,101,92
60471,"0",214,185,167
60472,"0",248,198,153
60473,"0",117,104,94
60474,"0",241,189,149
60475,"0",255,195,148
60476,"0",255,192,144
60477,"0",137,108,98
60478,"0",203,170,156
60479,"0",173,124,103
60480,"0",193,167,154
60481,"0",255,210,162
60482,"0",255,247,185
60483,"0",176,127,105
60484,"0",198,167,153
60485,"0",255,240,180
60486,"0",213,172,153
60487,"0",255,255,201
