,Unnamed: 0,number_of_stars,number_of_planets,number_of_moons,circumbinary,orbital_period_in_days,orbital_semimajor_axis_in_AU,radius_in_Earth_radii,mass_in_Earth_masses_from_Planetary_Systems_data_frame,density_in_grams_per_cubic_centimeter,orbital_eccentricity,insolation_flux_in_Earth_flux,equilibrium_temperature,spectral_type,stellar_mass_in_Sun_masses,stellar_luminosity,stellar_surface_gravity,type,short_description,discovery_reference,planetary parameter reference,description,url,subtitle
100,100,1,1,0,0,5.20851,0.0603,10.705,153.82972,0.69,0.047,,,G8/9 IV,1.01,,3.6,,,<a refstr=CABRERA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A..36C/abstract target=ref>Cabrera et al. 2015</a>,<a refstr=CABRERA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A..36C/abstract target=ref>Cabrera et al. 2015</a>,,,
101,101,1,1,0,0,2.85057,0.0386,10.088,270.1555,1.45,0.082,,,K0 V,0.97,,4.3,,,<a refstr=CABRERA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A..36C/abstract target=ref>Cabrera et al. 2015</a>,<a refstr=CABRERA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A..36C/abstract target=ref>Cabrera et al. 2015</a>,,,
103,103,1,1,0,0,9.06005,0.0844,11.31,921.707,3.45,0.007,,,G3 V,0.98,,4.4,,,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute; et al. 2020</a>,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute; et al. 2020</a>,,,
104,104,1,1,0,0,4.62941,0.0586,16.365,266.9772,0.33,0.02,,,G2 IV,1.25,,3.85,,,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute; et al. 2020</a>,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute; et al. 2020</a>,,,
105,105,1,1,0,0,3.22748,0.0429,18.831,349.61125,0.29,0.0,,1747.0,F6 V,1.01,,4.01,,,<a refstr=SEBASTIAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220708742S/abstract target=ref>Sebastian et al. 2022</a>,<a refstr=SEBASTIAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220708742S/abstract target=ref>Sebastian et al. 2022</a>,,,
106,106,1,1,0,0,5.616531,0.066,15.805,216.12332,0.25,0.0,,1567.0,F3 V,1.32,,4.16,,,<a refstr=SEBASTIAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220708742S/abstract target=ref>Sebastian et al. 2022</a>,<a refstr=SEBASTIAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220708742S/abstract target=ref>Sebastian et al. 2022</a>,,,
107,107,1,1,0,0,9.20205,0.09,13.34,228.83,0.525,0.0,,1074.0,,1.16,,4.41,,,<a refstr=AIGRAIN_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A%26A...488L..43A/abstract target=ref> Aigrain et al. 2008 </a>,<a refstr=MOUTOU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...488L..47M/abstract target=ref> Moutou et al. 2008 </a>,,,
108,108,1,1,0,0,4.0378962,0.04947,15.558,148.42,0.217,0.09,,1438.0,F9 V,1.0,,4.19,,,<a refstr=RAUER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..281R/abstract target=ref> Rauer et al. 2009 </a>,<a refstr=RAUER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..281R/abstract target=ref> Rauer et al. 2009 </a>,,,
109,109,1,1,0,0,8.886593,0.0855,13.068,940.74,2.32,0.1,,1017.0,F9 V,1.05,,4.43,,,<a refstr=FRIDLUND_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..14F/abstract target=ref> Fridlund et al. 2010 </a>,<a refstr=FRIDLUND_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..14F/abstract target=ref> Fridlund et al. 2010 </a>,,,
113,113,1,1,0,0,6.21229,0.063,6.39,69.92,1.6,0.0,,,K1 V,0.88,,4.58,,,<a refstr=BORDE_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..66B/abstract target=ref> Borde et al. 2010 </a>,<a refstr=BORDE_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..66B/abstract target=ref> Borde et al. 2010 </a>,,,
114,114,2,1,0,0,95.272656,0.4021,11.949,266.9772,0.86,0.133,,420.0,,0.96,,4.54,,,<a refstr=DEEG_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010Natur.464..384D/abstract target=ref> Deeg et al. 2010 </a>,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...603A..43B/abstract target=ref>Bonomo et al. 2017</a>,,,
115,115,1,1,0,0,6.71837,0.071,6.389,47.6745,1.1,,132.26,938.0,G0 VI,1.08,-0.155,4.67,,,<a refstr=BOUFLEUR_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.473..710B/abstract target=ref>Boufleur et al. 2018</a>,<a refstr=BOUFLEUR_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.473..710B/abstract target=ref>Boufleur et al. 2018</a>,,,
164,164,2,1,0,0,6.180235,0.07229,11.781,953.49,3.1,,642.0,1401.0,F5 V,1.32,0.526,4.16,,,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..250Y/abstract target=ref>Yu et al. 2018</a>,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..250Y/abstract target=ref>Yu et al. 2018</a>,,,
166,166,1,3,0,0,3.5951,0.047,1.95,8.75,6.39,0.06,1037.0,1616.0,G8 IV/V,1.05,,3.99,,,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,,,
167,167,1,3,0,0,15.624,0.13,3.67,14.67,1.62,0.07,160.0,990.0,G8 IV/V,1.05,,3.99,,,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,,,
168,168,1,3,0,0,35.747,0.22,3.94,10.18,0.91,0.15,53.0,752.0,G8 IV/V,1.05,,3.99,,,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,,,
176,176,1,2,0,0,1.628931,0.0153,1.13,1.66,6.3,0.22,,529.0,,0.18,-2.359,,,,<a refstr=BERTA_THOMPSON_ET_AL__2015 href=http://www.nature.com/nature/journal/v527/n7577/full/nature15762.html target=ref>Berta-Thompson et al. 2015</a>,<a refstr=BONFILS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A.142B/abstract target=ref>Bonfils et al. 2018</a>,,,
180,180,1,1,0,0,1.58040433,0.0149,2.742,8.17,2.2,0.063,21.0,596.0,M4 V,0.18,-2.337,5.03,,,<a refstr=CHARBONNEAU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009Natur.462..891C/abstract target=ref> Charbonneau et al. 2009 </a>,<a refstr=CLOUTIER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714732C/abstract target=ref>Cloutier et al. 2021</a>,,,
183,183,1,2,0,0,35.61253,0.1915,2.61,22.7,7.0,0.188,,422.0,K4.5,0.73,-0.686,4.61,,,<a refstr=TRIFONOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622L...7T/abstract target=ref>Trifonov et al. 2019</a>,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,,,
205,205,1,1,0,0,2.853136,0.03165,2.13,3.34,1.89,0.32,,693.0,M2 V,0.52,-1.342,4.73,,,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,,,
221,221,1,1,0,0,3.3366496,0.0355,4.57,13.9,0.8,,,594.0,,0.54,,4.7,,,<a refstr=BONFILS_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...546A..27B/abstract target=ref> Bonfils et al. 2012 </a>,<a refstr=AWIPHAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.2574A/abstract target=ref>Awiphan et al. 2016</a>,,,
222,222,2,2,0,0,1.1980035,0.01589,1.264,1.86,5.03,0.0,59.4,773.0,,0.36,-1.824,4.81,,,<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>,<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>,,,
226,226,1,3,0,0,3.93072,0.035,1.217,1.84,5.6,,12.6,525.0,M2.5 V,0.34,-1.798,4.94,,,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A..39L/abstract target=ref>Luque et al. 2019</a>,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A..39L/abstract target=ref>Luque et al. 2019</a>,,,
230,230,1,1,0,0,0.321962,0.0071,0.718,0.546,8.106,0.0,,1745.0,M1.0 V,0.45,-1.541,4.78,Terrestrial,GJ 367 b is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.546 EarthsCOMMA it takes 0.3 days to complete one orbit of its starCOMMA and is 0.0071 AU from its star. Its discovery was announced in 2021.,<a refstr=LAM_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...374.1271L/abstract target=ref>Lam et al. 2021</a>,<a refstr=LAM_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...374.1271L/abstract target=ref>Lam et al. 2021</a>,GJ 367 b is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.546 EarthsCOMMA it takes 0.3 days to complete one orbit of its starCOMMA and is 0.0071 AU from its star. Its discovery was announced in 2021.,/exoplanet-catalog/8049/gj-367-b/,A rocky world outside our solar system
232,232,1,2,0,0,2.616235,0.0252,1.09,1.75,7.3,0.0,17.3,568.0,,0.31,-1.963,4.89,,,<a refstr=KEMMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220200970K/abstract target=ref>Kemmer et al. 2022</a>,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,,,
246,246,1,1,0,0,2.64388312,0.0291,4.17,22.1,1.8,0.13827,,,,0.47,,4.79,,,<a refstr=BUTLER_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...617..580B/abstract target=ref> Butler et al. 2004 </a>,<a refstr=MACIEJEWSKI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AcA....64..323M/abstract target=ref>Maciejewski et al. 2014</a>,,,
248,248,1,1,0,0,1.467119,0.01734,1.305,2.82,7.0,0.05,40.3,701.0,M3.5 V,0.32,-1.917,,,,<a refstr=TRIFONOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...371.1038T/abstract target=ref>Trifonov et al. 2021</a>,<a refstr=TRIFONOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...371.1038T/abstract target=ref>Trifonov et al. 2021</a>,,,
290,290,1,3,0,0,1.2089819,0.0188,1.577,4.91,6.93,0.0,,,,0.61,,4.66,,,<a refstr=NIRAULA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..266N/abstract target=ref>Niraula et al. 2017</a>,<a refstr=RICE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3731R/abstract target=ref>Rice et al. 2019</a>,,,
291,291,1,3,0,0,3.6480957,0.03925,1.241,0.84,2.42,0.0,,,,0.61,,4.66,,,<a refstr=NIRAULA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..266N/abstract target=ref>Niraula et al. 2017</a>,<a refstr=RICE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3731R/abstract target=ref>Rice et al. 2019</a>,,,
292,292,1,3,0,0,6.2014698,0.05591,2.022,4.04,2.69,0.0,,,,0.61,,4.66,,,<a refstr=NIRAULA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..266N/abstract target=ref>Niraula et al. 2017</a>,<a refstr=RICE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3731R/abstract target=ref>Rice et al. 2019</a>,,,
293,293,1,1,0,0,1.744579,0.0338,16.477,6261.21962,8.22242,0.0,4650.0,2300.0,F2,1.68,0.727,4.27,,,<a refstr=BENNI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.4956B/abstract target=ref>Benni et al. 2021</a>,<a refstr=BENNI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.4956B/abstract target=ref>Benni et al. 2021</a>,,,
302,302,2,1,0,0,4.46529976,0.05561,14.785,166.86075,0.282,,,1322.0,,1.15,,4.36,,,<a refstr=BAKOS_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...656..552B/abstract target=ref>Bakos et al. 2007</a>,<a refstr=NIKOLOV_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.437...46N/abstract target=ref>Nikolov et al. 2014</a>,,,
305,305,1,1,0,0,3.2130598,0.0384,10.749,67.059,0.3192,0.0,,963.0,K4,0.73,-0.678,4.61,,,<a refstr=HARTMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...706..785H/abstract target=ref> Hartman et al. 2009 </a>,<a refstr=HARTMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...706..785H/abstract target=ref> Hartman et al. 2009 </a>,,,
310,310,3,1,0,0,2.77596,0.0413,14.448,1332.605,2.42,0.036,,1626.0,F8,1.22,0.294,4.34,,,<a refstr=BUCHHAVE_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...720.1118B/abstract target=ref> Buchhave et al. 2010 </a>,<a refstr=BUCHHAVE_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...720.1118B/abstract target=ref> Buchhave et al. 2010 </a>,,,
313,313,1,1,0,0,5.508023,0.0559,11.153,62.61,0.25,0.084,,852.0,K2,0.77,-0.569,4.57,,,<a refstr=HARTMAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...52H/abstract target=ref> Hartman et al. 2011 </a>,<a refstr=HARTMAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...52H/abstract target=ref> Hartman et al. 2011 </a>,,,
314,314,1,1,0,0,4.008778,0.0466,12.689,92.802,0.25,0.067,,1010.0,K1,0.84,-0.432,4.54,,,<a refstr=HARTMAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...52H/abstract target=ref> Hartman et al. 2011 </a>,<a refstr=HARTMAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...52H/abstract target=ref> Hartman et al. 2011 </a>,,,
316,316,1,1,0,0,2.875317,0.0361,9.718,2302.899,13.78,0.015,,970.0,K3,0.76,-0.721,4.63,,,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3388B/abstract target=ref> Bakos et al. 2010 </a>,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3388B/abstract target=ref> Bakos et al. 2010 </a>,,,
321,321,1,1,0,0,3.65281514,0.0466,12.722,180.84527,0.483,0.023,325.0,1182.0,,1.01,-0.152,4.52,,,<a refstr=QUINN_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3565Q/abstract target=ref> Quinn et al. 2010 </a>,<a refstr=WANG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASP..130f4401W/abstract target=ref>Wang et al. 2018</a>,,,
