,pl_name,hostname,pl_letter_x,hd_name,hip_name,tic_id,gaia_id,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade_x,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj_x,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj_x,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,id,pl_hostname,pl_letter_y,display_name,description,discovery_date,url,title,feature_title,mass_display,planet_type,st_dist,st_optmag,pl_radj_y,pl_rade_y,pl_massj_y,pl_discmethod,image,list_image,short_description,ranger_feature_id,ranger_system_id,ranger_system,exo_id,subtitle,categories,pl_kepflag,pl_facility,long_description
0,EPIC 201497682 b,EPIC 201497682,b,,,TIC 301610040,Gaia DR2 3810098271767907840,1,1,1,0,0,Transit,2019,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,2019-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,2.13174,0.00022,-0.00022,0.0,,,,,0.692,0.059,-0.048,0.0,0.062,0.005,-0.004,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456850.026,0.0028,-0.0026,0.0,BJD,0,0.21,0.23,-0.15,0.0,,,,,,,,,,,,,0.0115,0.0008,-0.0008,0.0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,,,,,,,,,,0.78,0.09,-0.17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h15m44.80s,168.9366786,+00d29m17.02s,0.4880606,54.82399,258.19387,-3.92857,169.63818,16.4083645,0.04027,-0.04027,11.1495,0.0481949,-0.0481949,-12.0384,0.0319422,-0.0319422,253.026,1.664,-1.664,3.92339,0.0257985,-0.0257985,15.148,0.024,-0.024,13.948,0.183,-0.183,12.086,0.023,-0.023,11.54,0.022,-0.022,11.438,0.026,-0.026,17.4868,0.014049,-0.014049,15.5898,0.0079047,-0.0079047,13.759,0.0020067,-0.0020067,13.467,0.0042429,-0.0042429,14.0043,0.0076245,-0.0076245,11.376,0.022,-0.022,11.449,0.021,-0.021,11.354,0.193,-0.193,8.878,,,13.7368,0.000323,-0.000323,,,,13.0708,0.0073,-0.0073,13.74,,,6/3/2019,2019-07,6/13/2019,0,0,0,0,0,0,7391,EPIC_201497682,b,EPIC 201497682 b,EPIC 201497682 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.26 Earths and it takes 2.1 days to complete one orbit of its star. Its discovery was announced in 2019.,2019,/exoplanet-catalog/7391/epic-201497682-b/,EPIC 201497682 b,EPIC 201497682 b,0.26 Earths,Terrestrial,825,13.948,0.062,0.692,0.00082,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,EPIC 201497682 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.26 Earths and it takes 2.1 days to complete one orbit of its star. Its discovery was announced in 2019.,EPIC_201497682_b,EPIC_201497682,False,EPIC_201497682_b,A rocky world outside our solar system,[],True,K2,
1,EPIC 201757695.02,EPIC 201757695,b,,,TIC 380546118,,1,1,1,0,0,Transit,2020,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,2020-08,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,2.0478,0.0001,-0.0001,0.0,0.0296,0.0005,-0.0005,0.0,0.908,0.059,-0.064,0.0,0.081,0.005,-0.006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,89.276,0.369,-0.372,0.0,2456811.637,0.0008,-0.0007,0.0,BJD,0,0.12,0.06,-0.06,0.0,,,,,,,,,,,,,0.0127,0.0002,-0.0002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,,4520.0,108.0,-54.0,0.0,0.66,0.04,-0.04,0.0,0.73,0.04,-0.05,0.0,-0.003,0.12,-0.3,0.0,[Fe/H],-0.364,0.325,-0.955,0.0,4.66,0.04,-0.03,0.0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h35m45.24s,173.9385102,+04d36m59.15s,4.6164303,61.14782,260.8805,1.83241,172.60849,6.764151,2.1781944,-2.1781944,-3.17074,2.17821,-2.17821,-5.97496,2.17819,-2.17819,,,,,,,16.22,0.07,-0.07,14.974,0.137,-0.137,12.856,0.026,-0.026,12.292,0.025,-0.025,12.149,0.026,-0.026,,,,,,,,,,,,,,,,12.079,0.023,-0.023,12.119,0.023,-0.023,12.038,0.347,-0.347,9.01,,,,,,,,,13.797,0.018,-0.018,14.599,,,11/13/2020,2020-08,11/19/2020,0,0,0,0,0,0,7772,EPIC_201757695,b,EPIC 201757695.02,EPIC 201757695.02 is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.688 EarthsCOMMA it takes 2 days to complete one orbit of its starCOMMA and is 0.0296 AU from its star. Its discovery was announced in 2020.,2020,/exoplanet-catalog/7772/epic-20175769502/,EPIC 201757695.02,EPIC 201757695.02,0.688 Earths,Terrestrial,1884,14.974,0.081,0.908,0.00217,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,EPIC 201757695.02 is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.688 EarthsCOMMA it takes 2 days to complete one orbit of its starCOMMA and is 0.0296 AU from its star. Its discovery was announced in 2020.,EPIC_201757695.02,EPIC_201757695,False,EPIC_201757695.02,A rocky world outside our solar system,[],True,K2,
2,EPIC 201833600 c,K2-50,c,,,TIC 363444743,Gaia DR2 3817000078053804672,1,1,2,0,0,Transit,2019,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,2019-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,3.96151,0.00046,-0.00051,0.0,,,,,1.0,0.12,-0.11,0.0,0.089,0.011,-0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456852.655,0.0025,-0.0025,0.0,BJD,0,0.4,0.2,-0.24,0.0,,,,,,,,,,,,,0.0168,0.0012,-0.0012,0.0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,,,,,,,,,,0.61,0.06,-0.06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h17m56.08s,169.483654,+05d59m17.84s,5.988289,59.32248,252.27127,1.34727,167.98914,25.7102817,0.1342948,-0.1342948,8.74731,0.0927039,-0.0927039,-24.1765,0.13882,-0.13882,257.443,3.239,-3.239,3.85616,0.0484959,-0.0484959,15.981,0.061,-0.061,14.705,0.16,-0.16,12.41,0.027,-0.027,11.765,0.023,-0.023,11.664,0.023,-0.023,,,,,,,,,,,,,,,,11.568,0.022,-0.022,11.622,0.023,-0.023,11.322,0.198,-0.198,8.489,0.401,-0.401,14.2575,0.000513,-0.000513,,,,13.5014,0.0084,-0.0084,14.252,,,6/3/2019,2019-07,6/13/2019,0,0,0,0,0,0,7394,K2-50,c,EPIC 201833600 c,EPIC 201833600 c is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.972 Earths and it takes 4 days to complete one orbit of its star. Its discovery was announced in 2019.,2019,/exoplanet-catalog/7394/epic-201833600-c/,EPIC 201833600 c,EPIC 201833600 c,0.972 Earths,Terrestrial,840,14.705,0.089,1.0,0.00306,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,EPIC 201833600 c is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.972 Earths and it takes 4 days to complete one orbit of its star. Its discovery was announced in 2019.,EPIC_201833600_c,K2-50,False,EPIC_201833600_c,A rocky world outside our solar system,[],True,K2,
3,EPIC 206215704 b,EPIC 206215704,b,,,TIC 38355468,Gaia DR2 2615281560211505408,1,1,1,0,0,Transit,2019,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,2019-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,2.255436,9.1e-05,-9.1e-05,0.0,,,,,1.0,0.1,-0.09,0.0,0.089,0.009,-0.008,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.9,3.0,-2.0,0.0,2457010.007,0.0018,-0.0016,0.0,HJD,0,,,,,,,,,,,,,17.0,3.0,-4.0,0.0,0.0383,0.0036,-0.0024,0.0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,,3297.0,73.0,-73.0,0.0,0.25,0.01,-0.01,0.0,,,,,-0.33,0.093,-0.093,0.0,[Fe/H],,,,,4.9,0.08,-0.08,0.0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h20m22.79s,335.0949721,-09d30m34.96s,-9.5097112,-50.28505,51.97463,0.78076,333.46039,45.9510152,0.1051719,-0.1051719,16.1136,0.111739,-0.111739,-43.0331,0.104218,-0.104218,109.888,1.08,-1.08,9.0727,0.0887447,-0.0887447,19.015,0.163,-0.163,17.83,0.2,-0.2,13.561,0.03,-0.03,12.954,0.025,-0.025,12.767,0.029,-0.029,20.9776,0.12894,-0.12894,18.0959,0.0070587,-0.0070587,16.5649,0.0039952,-0.0039952,15.4462,0.0035488,-0.0035488,14.8072,0.0043312,-0.0043312,12.58,0.024,-0.024,12.404,0.025,-0.025,11.544,,,8.803001,,,16.1722,0.000979,-0.000979,,,,14.9871,0.0077312,-0.0077312,15.598,,,3/28/2022,2021-08,3/28/2022,1,0,0,0,0,0,7400,EPIC_206215704,b,EPIC 206215704 b,EPIC 206215704 b is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.972 Earths and it takes 2.3 days to complete one orbit of its star. Its discovery was announced in 2019.,2019,/exoplanet-catalog/7400/epic-206215704-b/,EPIC 206215704 b,EPIC 206215704 b,0.972 Earths,Terrestrial,358,17.83,0.089,1.0,0.00306,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,EPIC 206215704 b is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.972 Earths and it takes 2.3 days to complete one orbit of its star. Its discovery was announced in 2019.,EPIC_206215704_b,EPIC_206215704,False,EPIC_206215704_b,A rocky world outside our solar system,[],True,K2,
4,EPIC 206317286 b,EPIC 206317286,b,,,TIC 250956593,Gaia DR2 2621545958991110144,1,1,2,0,0,Transit,2019,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,2019-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,1.58252,0.00017,-0.00018,0.0,,,,,0.96,0.11,-0.15,0.0,0.086,0.01,-0.013,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457011.333,0.0024,-0.0024,0.0,BJD,0,0.57,0.15,-0.24,0.0,,,,,,,,,,,,,0.0133,0.0014,-0.0012,0.0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,,,,,,,,,,0.71,0.09,-0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h30m28.28s,337.6178427,-07d58m20.84s,-7.972456,-51.54478,56.17023,1.30362,336.34311,58.424872,0.0510191,-0.0510191,57.0952,0.0511842,-0.0511842,-12.3937,0.0473809,-0.0473809,314.35,2.936,-2.882,3.15254,0.029214,-0.029214,15.08,0.037,-0.037,14.005,0.08,-0.08,12.258,0.026,-0.026,11.72,0.021,-0.021,11.635,0.025,-0.025,16.678,0.0074948,-0.0074948,14.5456,0.0025126,-0.0025126,13.694,0.002872,-0.002872,13.4008,0.00244,-0.00244,13.2274,0.002882,-0.002882,11.591,0.023,-0.023,11.66,0.022,-0.022,11.902,0.274,-0.274,8.892,,,13.774,0.000299,-0.000299,,,,13.1461,0.0062,-0.0062,13.806,,,6/3/2019,2019-07,6/13/2019,0,0,0,0,0,0,7401,EPIC_206317286,b,EPIC 206317286 b,EPIC 206317286 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.84 Earths and it takes 1.6 days to complete one orbit of its star. Its discovery was announced in 2019.,2019,/exoplanet-catalog/7401/epic-206317286-b/,EPIC 206317286 b,EPIC 206317286 b,0.84 Earths,Terrestrial,1025,14.005,0.086,0.96,0.00264,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,EPIC 206317286 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.84 Earths and it takes 1.6 days to complete one orbit of its star. Its discovery was announced in 2019.,EPIC_206317286_b,EPIC_206317286,False,EPIC_206317286_b,A rocky world outside our solar system,[],True,K2,
5,EPIC 220492298 b,EPIC 220492298,b,,,TIC 257802602,Gaia DR2 2576563907506735232,1,1,1,0,0,Transit,2021,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,2021-08,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.762406,0.00015,-0.00015,0.0,,,,,0.99,0.1,-0.1,0.0,0.088,0.009,-0.009,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.6,10.0,-10.0,0.0,2457431.677,0.0037,-0.0033,0.0,HJD,0,,,,,,,,,,,,,3.2,0.6,-0.7,0.0,0.01,0.0012,-0.00072,0.0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,,5620.0,31.0,-31.0,0.0,0.89,0.09,-0.09,0.0,,,,,0.28,0.03,-0.03,0.0,[Fe/H],,,,,4.5,0.08,-0.08,0.0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h07m02.76s,16.7615005,+06d35m19.67s,6.588798,-56.07199,129.88845,-0.49746,17.9687,16.0543809,0.0740073,-0.0740073,14.5223,0.079861,-0.079861,-6.84441,0.0377118,-0.0377118,624.512,14.947,-14.947,1.57248,0.0380342,-0.0380342,14.819,0.04,-0.04,13.991,0.092,-0.092,12.61,0.026,-0.026,12.26,0.022,-0.022,12.168,0.026,-0.026,16.314,0.0072598,-0.0072598,14.8641,0.005414,-0.005414,13.8038,0.0028427,-0.0028427,13.719,0.0039138,-0.0039138,13.6928,0.0059891,-0.0059891,12.13,0.023,-0.023,12.201,0.024,-0.024,12.001,0.383,-0.383,8.927,,,13.7756,0.000365,-0.000365,,,,13.2689,0.0066,-0.0066,13.786,,,10/25/2021,2021-08,10/25/2021,0,0,0,0,0,0,8020,EPIC_220492298,b,EPIC 220492298 b,EPIC 220492298 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.937 Earths and it takes 0.8 days to complete one orbit of its star. Its discovery was announced in 2021.,2021,/exoplanet-catalog/8020/epic-220492298-b/,EPIC 220492298 b,EPIC 220492298 b,0.937 Earths,Terrestrial,2037,13.991,0.088,0.99,0.00295,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,EPIC 220492298 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.937 Earths and it takes 0.8 days to complete one orbit of its star. Its discovery was announced in 2021.,EPIC_220492298_b,EPIC_220492298,False,EPIC_220492298_b,A rocky world outside our solar system,[],True,K2,
6,GJ 367 b,GJ 367,b,,HIP 47780,TIC 34068865,Gaia DR2 5412250540681250560,1,1,1,0,0,Transit,2021,<a refstr=LAM_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...374.1271L/abstract target=ref>Lam et al. 2021</a>,2021-12,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=LAM_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...374.1271L/abstract target=ref>Lam et al. 2021</a>,0.321962,1e-05,-1.2e-05,0.0,0.0071,0.0002,-0.0002,0.0,0.718,0.054,-0.054,0.0,0.064,0.005,-0.005,0.0,0.546,0.078,-0.078,0.0,0.00172,0.00025,-0.00025,0.0,,,,,,,,,,,,,,,,,0.546,0.078,-0.078,0.0,0.00172,0.00025,-0.00025,0.0,Mass,8.106,2.165,-2.165,0.0,0.0,,,0.0,,,,,1745.0,43.0,-43.0,0.0,80.75,0.64,-0.64,0.0,2458544.135,0.0004,-0.0004,0.0,BJD-TDB,0,0.55,0.03,-0.04,0.0,0.0212,0.0042,-0.0042,0.0,0.615,0.017,-0.015,0.0,3.41,0.06,-0.07,0.0,0.0143,0.0096,-0.001,0.0,,,,,,,,,,,,,0.798,0.11,-0.11,0.0,,,,,,,,,<a refstr=LAM_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...374.1271L/abstract target=ref>Lam et al. 2021</a>,M1.0 V,3522.0,70.0,-70.0,0.0,0.46,0.01,-0.01,0.0,0.45,0.01,-0.01,0.0,-0.01,0.12,-0.12,0.0,[Fe/H],-1.541,0.039,-0.043,0.0,4.78,0.03,-0.03,0.0,,,,,6.7108,0.6062,-0.5498,0.0,,,,,58.0,6.9,-6.9,0.0,47.93,0.0,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h44m29.15s,146.121464,-45d46m44.46s,-45.7790165,5.6589,272.24323,-54.30771,172.94874,744.05896,0.0571804,-0.0571804,-462.549,0.0557454,-0.0557454,-582.814,0.058066,-0.058066,9.41263,0.002835,-0.002835,106.211,0.0317349,-0.0317349,11.617,0.034,-0.034,10.153,0.044,-0.044,6.632,0.023,-0.023,6.045,0.044,-0.044,5.78,0.02,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.15159,0.00065,-0.00065,,,,8.031941,0.0074304,-0.0074304,,,,12/2/2021,2021-12,12/2/2021,0,1,0,0,0,0,8049,GJ_367,b,GJ 367 b,GJ 367 b is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.546 EarthsCOMMA it takes 0.3 days to complete one orbit of its starCOMMA and is 0.0071 AU from its star. Its discovery was announced in 2021.,2021,/exoplanet-catalog/8049/gj-367-b/,GJ 367 b,GJ 367 b,0.546 Earths,Terrestrial,31,10.153,0.064,0.718,0.00172,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,GJ 367 b is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.546 EarthsCOMMA it takes 0.3 days to complete one orbit of its starCOMMA and is 0.0071 AU from its star. Its discovery was announced in 2021.,GJ_367_b,GJ_367,False,GJ_367_b,A rocky world outside our solar system,[],False,Transiting Exoplanet Survey Satellite (TESS),
