id,pl_hostname,pl_letter,display_name,description,discovery_date,url,title,feature_title,mass_display,planet_type,st_dist,st_optmag,pl_radj,pl_rade,pl_massj,pl_discmethod,image,list_image,short_description,ranger_feature_id,ranger_system_id,ranger_system,exo_id,subtitle,categories,pl_kepflag,pl_facility,long_description
2864,Kepler-1417,b,Kepler-1417 b,Kepler-1417 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.972 EarthsCOMMA it takes 20.4 days to complete one orbit of its starCOMMA and is 0.1431 AU from its star. Its discovery was announced in 2016.,2016,/exoplanet-catalog/2864/kepler-1417-b/,Kepler-1417 b,Kepler-1417 b,0.972 Earths,Terrestrial,3235,14.038,0.089,1.0,0.00306,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-1417 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.972 EarthsCOMMA it takes 20.4 days to complete one orbit of its starCOMMA and is 0.1431 AU from its star. Its discovery was announced in 2016.,Kepler-1417_b,Kepler-1417,false,Kepler-1417_b,A rocky world outside our solar system,[],true,Kepler,null
1561,Kepler-141,b,Kepler-141 b,Kepler-141 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.257 EarthsCOMMA it takes 3.1 days to complete one orbit of its starCOMMA and is 0.039 AU from its star. Its discovery was announced in 2014.,2014,/exoplanet-catalog/1561/kepler-141-b/,Kepler-141 b,Kepler-141 b,0.257 Earths,Terrestrial,982,13.624,0.062,0.69,0.00081,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-141 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.257 EarthsCOMMA it takes 3.1 days to complete one orbit of its starCOMMA and is 0.039 AU from its star. Its discovery was announced in 2014.,Kepler-141_b,Kepler-141,false,Kepler-141_b,A rocky world outside our solar system,[],true,Kepler,null
2868,Kepler-1421,b,Kepler-1421 b,Kepler-1421 b is a terrestrial exoplanet that orbits an F-type star. Its mass is 0.749 EarthsCOMMA it takes 6.9 days to complete one orbit of its starCOMMA and is 0.0762 AU from its star. Its discovery was announced in 2016.,2016,/exoplanet-catalog/2868/kepler-1421-b/,Kepler-1421 b,Kepler-1421 b,0.749 Earths,Terrestrial,2555,12.868,0.083,0.93,0.00236,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-1421 b is a terrestrial exoplanet that orbits an F-type star. Its mass is 0.749 EarthsCOMMA it takes 6.9 days to complete one orbit of its starCOMMA and is 0.0762 AU from its star. Its discovery was announced in 2016.,Kepler-1421_b,Kepler-1421,false,Kepler-1421_b,A rocky world outside our solar system,[],true,Kepler,null
2872,Kepler-1425,b,Kepler-1425 b,Kepler-1425 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.779 EarthsCOMMA it takes 14.5 days to complete one orbit of its starCOMMA and is 0.1038 AU from its star. Its discovery was announced in 2016.,2016,/exoplanet-catalog/2872/kepler-1425-b/,Kepler-1425 b,Kepler-1425 b,0.779 Earths,Terrestrial,2818,13.681,0.084,0.94,0.00245,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-1425 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.779 EarthsCOMMA it takes 14.5 days to complete one orbit of its starCOMMA and is 0.1038 AU from its star. Its discovery was announced in 2016.,Kepler-1425_b,Kepler-1425,false,Kepler-1425_b,A rocky world outside our solar system,[],true,Kepler,null
2303,Kepler-1435,b,Kepler-1435 b,Kepler-1435 b is a terrestrial exoplanet that orbits an F-type star. Its mass is 0.566 EarthsCOMMA it takes 4.5 days to complete one orbit of its starCOMMA and is 0.0546 AU from its star. Its discovery was announced in 2016.,2016,/exoplanet-catalog/2303/kepler-1435-b/,Kepler-1435 b,Kepler-1435 b,0.566 Earths,Terrestrial,2297,12.984,0.077,0.86,0.00178,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-1435 b is a terrestrial exoplanet that orbits an F-type star. Its mass is 0.566 EarthsCOMMA it takes 4.5 days to complete one orbit of its starCOMMA and is 0.0546 AU from its star. Its discovery was announced in 2016.,Kepler-1435_b,Kepler-1435,false,Kepler-1435_b,A rocky world outside our solar system,[],true,Kepler,null
2306,Kepler-1438,b,Kepler-1438 b,Kepler-1438 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.779 EarthsCOMMA it takes 2.3 days to complete one orbit of its starCOMMA and is 0.0346 AU from its star. Its discovery was announced in 2016.,2016,/exoplanet-catalog/2306/kepler-1438-b/,Kepler-1438 b,Kepler-1438 b,0.779 Earths,Terrestrial,3765,14.983,0.084,0.94,0.00245,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-1438 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.779 EarthsCOMMA it takes 2.3 days to complete one orbit of its starCOMMA and is 0.0346 AU from its star. Its discovery was announced in 2016.,Kepler-1438_b,Kepler-1438,false,Kepler-1438_b,A rocky world outside our solar system,[],true,Kepler,null
2311,Kepler-1443,b,Kepler-1443 b,Kepler-1443 b is a terrestrial exoplanet that orbits an F-type star. Its mass is 0.871 EarthsCOMMA it takes 2.4 days to complete one orbit of its starCOMMA and is 0.0368 AU from its star. Its discovery was announced in 2016.,2016,/exoplanet-catalog/2311/kepler-1443-b/,Kepler-1443 b,Kepler-1443 b,0.871 Earths,Terrestrial,1936,12.313,0.087,0.97,0.00274,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-1443 b is a terrestrial exoplanet that orbits an F-type star. Its mass is 0.871 EarthsCOMMA it takes 2.4 days to complete one orbit of its starCOMMA and is 0.0368 AU from its star. Its discovery was announced in 2016.,Kepler-1443_b,Kepler-1443,false,Kepler-1443_b,A rocky world outside our solar system,[],true,Kepler,null
2313,Kepler-1445,b,Kepler-1445 b,Kepler-1445 b is a terrestrial exoplanet that orbits an F-type star. Its mass is 0.84 EarthsCOMMA it takes 10.6 days to complete one orbit of its starCOMMA and is 0.0948 AU from its star. Its discovery was announced in 2016.,2016,/exoplanet-catalog/2313/kepler-1445-b/,Kepler-1445 b,Kepler-1445 b,0.84 Earths,Terrestrial,1652,12.407,0.086,0.96,0.00264,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-1445 b is a terrestrial exoplanet that orbits an F-type star. Its mass is 0.84 EarthsCOMMA it takes 10.6 days to complete one orbit of its starCOMMA and is 0.0948 AU from its star. Its discovery was announced in 2016.,Kepler-1445_b,Kepler-1445,false,Kepler-1445_b,A rocky world outside our solar system,[],true,Kepler,null
2314,Kepler-1446,b,Kepler-1446 b,Kepler-1446 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.477 EarthsCOMMA it takes 0.7 days to complete one orbit of its starCOMMA and is 0.0141 AU from its star. Its discovery was announced in 2016.,2016,/exoplanet-catalog/2314/kepler-1446-b/,Kepler-1446 b,Kepler-1446 b,0.477 Earths,Terrestrial,496,12.595,0.073,0.82,0.0015,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-1446 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.477 EarthsCOMMA it takes 0.7 days to complete one orbit of its starCOMMA and is 0.0141 AU from its star. Its discovery was announced in 2016.,Kepler-1446_b,Kepler-1446,false,Kepler-1446_b,A rocky world outside our solar system,[],true,Kepler,null
2333,Kepler-1464,c,Kepler-1464 c,Kepler-1464 c is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.972 EarthsCOMMA it takes 5.3 days to complete one orbit of its starCOMMA and is 0.0548 AU from its star. Its discovery was announced in 2016.,2016,/exoplanet-catalog/2333/kepler-1464-c/,Kepler-1464 c,Kepler-1464 c,0.972 Earths,Terrestrial,3757,14.358,0.089,1.0,0.00306,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-1464 c is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.972 EarthsCOMMA it takes 5.3 days to complete one orbit of its starCOMMA and is 0.0548 AU from its star. Its discovery was announced in 2016.,Kepler-1464_c,Kepler-1464,false,Kepler-1464_c,A rocky world outside our solar system,[],true,Kepler,null
2375,Kepler-1505,b,Kepler-1505 b,Kepler-1505 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.749 EarthsCOMMA it takes 30.9 days to complete one orbit of its starCOMMA and is 0.1862 AU from its star. Its discovery was announced in 2016.,2016,/exoplanet-catalog/2375/kepler-1505-b/,Kepler-1505 b,Kepler-1505 b,0.749 Earths,Terrestrial,1615,13.043,0.083,0.93,0.00236,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-1505 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.749 EarthsCOMMA it takes 30.9 days to complete one orbit of its starCOMMA and is 0.1862 AU from its star. Its discovery was announced in 2016.,Kepler-1505_b,Kepler-1505,false,Kepler-1505_b,A rocky world outside our solar system,[],true,Kepler,null
2377,Kepler-1507,b,Kepler-1507 b,Kepler-1507 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.52 EarthsCOMMA it takes 16.1 days to complete one orbit of its starCOMMA and is 0.1234 AU from its star. Its discovery was announced in 2016.,2016,/exoplanet-catalog/2377/kepler-1507-b/,Kepler-1507 b,Kepler-1507 b,0.52 Earths,Terrestrial,1045,13.267,0.075,0.84,0.00164,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-1507 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.52 EarthsCOMMA it takes 16.1 days to complete one orbit of its starCOMMA and is 0.1234 AU from its star. Its discovery was announced in 2016.,Kepler-1507_b,Kepler-1507,false,Kepler-1507_b,A rocky world outside our solar system,[],true,Kepler,null
2396,Kepler-1525,b,Kepler-1525 b,Kepler-1525 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.693 EarthsCOMMA it takes 2.4 days to complete one orbit of its starCOMMA and is 0.036 AU from its star. Its discovery was announced in 2016.,2016,/exoplanet-catalog/2396/kepler-1525-b/,Kepler-1525 b,Kepler-1525 b,0.693 Earths,Terrestrial,1249,12.797,0.081,0.91,0.00218,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-1525 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.693 EarthsCOMMA it takes 2.4 days to complete one orbit of its starCOMMA and is 0.036 AU from its star. Its discovery was announced in 2016.,Kepler-1525_b,Kepler-1525,false,Kepler-1525_b,A rocky world outside our solar system,[],true,Kepler,null
2426,Kepler-1542,b,Kepler-1542 b,Kepler-1542 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.363 EarthsCOMMA it takes 4 days to complete one orbit of its starCOMMA and is 0.0479 AU from its star. Its discovery was announced in 2016.,2016,/exoplanet-catalog/2426/kepler-1542-b/,Kepler-1542 b,Kepler-1542 b,0.363 Earths,Terrestrial,1302,12.734,0.068,0.76,0.00114,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-1542 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.363 EarthsCOMMA it takes 4 days to complete one orbit of its starCOMMA and is 0.0479 AU from its star. Its discovery was announced in 2016.,Kepler-1542_b,Kepler-1542,false,Kepler-1542_b,A rocky world outside our solar system,[],true,Kepler,null
2427,Kepler-1542,c,Kepler-1542 c,Kepler-1542 c is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.208 EarthsCOMMA it takes 2.9 days to complete one orbit of its starCOMMA and is 0.0389 AU from its star. Its discovery was announced in 2016.,2016,/exoplanet-catalog/2427/kepler-1542-c/,Kepler-1542 c,Kepler-1542 c,0.208 Earths,Terrestrial,1302,12.734,0.058,0.65,0.00065,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-1542 c is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.208 EarthsCOMMA it takes 2.9 days to complete one orbit of its starCOMMA and is 0.0389 AU from its star. Its discovery was announced in 2016.,Kepler-1542_c,Kepler-1542,false,Kepler-1542_c,A rocky world outside our solar system,[],true,Kepler,null
2412,Kepler-1542,d,Kepler-1542 d,Kepler-1542 d is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.59 EarthsCOMMA it takes 6 days to complete one orbit of its starCOMMA and is 0.0632 AU from its star. Its discovery was announced in 2016.,2016,/exoplanet-catalog/2412/kepler-1542-d/,Kepler-1542 d,Kepler-1542 d,0.59 Earths,Terrestrial,1302,12.734,0.078,0.87,0.00186,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-1542 d is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.59 EarthsCOMMA it takes 6 days to complete one orbit of its starCOMMA and is 0.0632 AU from its star. Its discovery was announced in 2016.,Kepler-1542_d,Kepler-1542,false,Kepler-1542_d,A rocky world outside our solar system,[],true,Kepler,null
2413,Kepler-1542,e,Kepler-1542 e,Kepler-1542 e is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.363 EarthsCOMMA it takes 5.1 days to complete one orbit of its starCOMMA and is 0.0567 AU from its star. Its discovery was announced in 2016.,2016,/exoplanet-catalog/2413/kepler-1542-e/,Kepler-1542 e,Kepler-1542 e,0.363 Earths,Terrestrial,1302,12.734,0.068,0.76,0.00114,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-1542 e is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.363 EarthsCOMMA it takes 5.1 days to complete one orbit of its starCOMMA and is 0.0567 AU from its star. Its discovery was announced in 2016.,Kepler-1542_e,Kepler-1542,false,Kepler-1542_e,A rocky world outside our solar system,[],true,Kepler,null
2418,Kepler-1547,b,Kepler-1547 b,Kepler-1547 b is a terrestrial exoplanet that orbits an F-type star. Its mass is 0.666 EarthsCOMMA it takes 0.7 days to complete one orbit of its starCOMMA and is 0.0165 AU from its star. Its discovery was announced in 2016.,2016,/exoplanet-catalog/2418/kepler-1547-b/,Kepler-1547 b,Kepler-1547 b,0.666 Earths,Terrestrial,2201,13.464,0.08,0.9,0.0021,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-1547 b is a terrestrial exoplanet that orbits an F-type star. Its mass is 0.666 EarthsCOMMA it takes 0.7 days to complete one orbit of its starCOMMA and is 0.0165 AU from its star. Its discovery was announced in 2016.,Kepler-1547_b,Kepler-1547,false,Kepler-1547_b,A rocky world outside our solar system,[],true,Kepler,null
2433,Kepler-1558,b,Kepler-1558 b,Kepler-1558 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.244 EarthsCOMMA it takes 3.5 days to complete one orbit of its starCOMMA and is 0.0419 AU from its star. Its discovery was announced in 2016.,2016,/exoplanet-catalog/2433/kepler-1558-b/,Kepler-1558 b,Kepler-1558 b,0.244 Earths,Terrestrial,1063,13.809,0.061,0.68,0.00077,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-1558 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.244 EarthsCOMMA it takes 3.5 days to complete one orbit of its starCOMMA and is 0.0419 AU from its star. Its discovery was announced in 2016.,Kepler-1558_b,Kepler-1558,false,Kepler-1558_b,A rocky world outside our solar system,[],true,Kepler,null
2434,Kepler-1559,b,Kepler-1559 b,Kepler-1559 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.299 EarthsCOMMA it takes 1 days to complete one orbit of its starCOMMA and is 0.018 AU from its star. Its discovery was announced in 2016.,2016,/exoplanet-catalog/2434/kepler-1559-b/,Kepler-1559 b,Kepler-1559 b,0.299 Earths,Terrestrial,2006,14.549,0.064,0.72,0.00094,Transit,/assets/content/planets/terrestrial.jpg,/assets/content/planets/terrestrial_sq.jpg,Kepler-1559 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.299 EarthsCOMMA it takes 1 days to complete one orbit of its starCOMMA and is 0.018 AU from its star. Its discovery was announced in 2016.,Kepler-1559_b,Kepler-1559,false,Kepler-1559_b,A rocky world outside our solar system,[],true,Kepler,null
