,number_of_stars,number_of_planets,number_of_moons,circumbinary,orbital_period_in_days,orbital_semimajor_axis_in_AU,radius_in_Earth_radii,mass_in_Earth_masses_from_Planetary_Systems_data_frame,density_in_grams_per_cubic_centimeter,orbital_eccentricity,insolation_flux_in_Earth_flux,equilibrium_temperature,spectral_type,stellar_mass_in_Sun_masses,stellar_luminosity,stellar_surface_gravity,type,short_description,discovery_reference,planetary parameter reference,description,url,subtitle
768,1,5,0,0,38.3525,0.207,3.04,5.8,0.5,0,,549,G9 V,0.81,-0.187,4.3,,,<a refstr=BADENAS_AGUSTI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..113B/abstract target=ref>Badenas-Agusti et al. 2020</a>,<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>,,,
769,1,5,0,0,101.5,0.397,,,,0,,397,G9 V,0.81,-0.187,4.3,,,<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>,<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>,,,
770,1,5,0,0,4450,4.8,,,,0,,,G9 V,0.81,-0.187,4.3,,,<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>,<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>,,,
771,1,1,0,0,24.3556,0.15,,,,0.05,,,,0.66,,4.51,,,<a refstr=SANTOS_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000A&A...356..599S/abstract target=ref> Santos et al. 2000 </a>,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,,
772,1,2,0,0,74.72,0.32,,,,0.13,,355,,0.8,-0.415,4.51,,,<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>,<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>,,,
773,1,2,0,0,525.8,1.18,,,,0.32,,185,,0.8,-0.415,4.51,,,<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>,<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>,,,
774,1,1,0,0,340.94,1.063,,,,0.082,,,,1.38,,3.25,,,<a refstr=JOHNSON_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...665..785J/abstract target=ref> Johnson et al. 2007 </a>,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,,
775,1,1,0,0,13092.18348,11.043187,,3580.0227,,0.251363,,,,1.06,,,,,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,
776,2,1,0,0,18.20132,0.14,,,,0.01,,,,1.21,,4.18,,,<a refstr=FISCHER_ET_AL__1999 href=https://ui.adsabs.harvard.edu/abs/1999PASP..111...50F/abstract target=ref> Fischer et al. 1999 </a>,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,,
777,3,1,0,0,1378,2.51,,,,0.23,,,,1.31,,4.25,,,<a refstr=JONES_ET_AL__2002 href=https://ui.adsabs.harvard.edu/abs/2002MNRAS.337.1170J/abstract target=ref> Jones et al. 2002 </a>,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,,
